Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model
Kolkata,2014,9500,Petrol,Manual,First,18.2,1199.0,82.5,5.0,3.5,Chevrolet,Hatchback 1.2 LS
Kochi,2016,42362,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.15,Hyundai,1.2 Spotz
Chennai,2016,21000,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,33.0,BMW,sDrive 20d Sportline
Mumbai,2012,15200,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,13.5,BMW,sDrive 20d Exclusive
Mumbai,2015,43690,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,17.11,Toyota,4x2 AT
Kochi,2014,79926,Diesel,Automatic,First,11.33,4134.0,335.2,7.0,29.77,Audi,4.2 TDI Quattro Technology
Kolkata,2013,53073,Diesel,Manual,First,20.77,1248.0,88.76,7.0,5.95,Maruti,VDI
Bangalore,2015,59000,Petrol,Manual,First,18.5,1197.0,80.0,5.0,5.75,Hyundai,1.2 Magna
Bangalore,2006,47088,Petrol,Automatic,Second,10.13,3498.0,364.9,5.0,19.0,Mercedes-Benz,Class 2005 2013 S 350 L
Ahmedabad,2014,55000,Diesel,Manual,First,20.45,1461.0,83.8,5.0,4.75,Renault,85PS Diesel RxL
Hyderabad,2013,80430,Diesel,Manual,Second,17.21,1493.0,100.0,7.0,3.3,Mahindra,C2
Delhi,2013,71932,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,16.5,Toyota,4x2 AT
Mumbai,2014,19000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,44.0,BMW,2014-2019 xDrive 30d Design Pure Experience 7 Seater
Hyderabad,2011,81759,Diesel,Manual,First,19.3,1248.0,73.9,5.0,4.39,Maruti,Dzire VDi
Kochi,2018,52010,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.2,Maruti,LDI Optional
Kochi,2016,58953,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,24.22,Audi,2011-2015 35 TFSI Technology
Mumbai,2008,93000,Diesel,Manual,Third,10.5,2835.0,107.2,6.0,5.45,Mitsubishi,2.8 SFX BSIV Dual Tone
Delhi,2016,10000,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,44.0,Jaguar,2.2 Litre Executive
Coimbatore,2019,40674,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,24.82,Toyota,Crysta 2.8 ZX AT
Mumbai,2015,50000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,11.69,Skoda,Ambition 2.0 TDI AT
Bangalore,2018,1331,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,20.0,Toyota,Altis VL AT
Pune,2010,60000,Petrol,Manual,First,19.7,796.0,35.0,8.0,1.45,Maruti,8 Seater BSII
Mumbai,2018,10003,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,48.5,Mercedes-Benz,220d 4MATIC Style
Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,9.45,Volkswagen,1.5 TDI Highline AT
Ahmedabad,2015,73000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,12.5,Mahindra,W10 2WD
Hyderabad,2014,59962,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.9,Nissan,XL 85 PS
Jaipur,2012,72000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5.8,Hyundai,1.6 SX CRDi (O)
Coimbatore,2016,20967,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,44.56,BMW,Series 2013-2017 530d M Sport
Bangalore,2015,35000,Diesel,Manual,Second,15.4,2179.0,120.0,7.0,8.5,Mahindra,S4 Plus
Coimbatore,2017,38056,Diesel,Manual,First,23.9,1582.0,126.2,5.0,10.7,Hyundai,1.6 CRDi SX
Pune,2009,94000,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,12.0,Audi,3.0 TDI Quattro Premium Plus
Coimbatore,2010,64236,Petrol,Manual,First,14.7,1150.0,76.0,5.0,2.44,Chevrolet,U-VA 1.2 LT
Kolkata,2000,124000,Diesel,Manual,First,13.6,2523.0,63.0,7.0,1.95,Mahindra,ZLX BSIII
Mumbai,2014,7400,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.35,Hyundai,1.2 Kappa S
Hyderabad,2017,52000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,17.5,Toyota,Crysta 2.4 GX MT 8S
Hyderabad,2015,68764,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.9,Hyundai,Era Plus
Delhi,2013,64000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.9,Volkswagen,Diesel Comfortline 1.2L
Pune,2016,21558,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.9,Maruti,Brezza ZDi
Mumbai,2013,37500,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,16.75,BMW,Series 320d Prestige
Coimbatore,2016,14077,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.95,Hyundai,Sportz
Mumbai,2009,70000,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.1,Honda,1.5 S MT
Kochi,2011,54316,Petrol,Manual,Second,12.8,2354.0,177.6,5.0,4.29,Honda,2.4 MT
Hyderabad,2009,90764,Diesel,Manual,First,14.0,2498.0,112.0,8.0,3.85,Mahindra,E8
Chennai,2009,137000,Diesel,Automatic,Second,13.2,1995.0,170.0,5.0,9.0,BMW,Series 320d
Pune,2013,127000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,4.5,Honda,V MT
Kochi,2016,51884,Diesel,Manual,First,16.0,2179.0,140.0,7.0,12.46,Mahindra,W10 2WD
Delhi,2014,67407,Diesel,Manual,First,21.27,1396.0,88.76,5.0,4.65,Hyundai,Asta 1.4 CRDi
Hyderabad,2014,107825,Diesel,Manual,First,13.0,2982.0,168.5,7.0,20.5,Toyota,4x2 Manual
Chennai,2006,82453,Diesel,Manual,First,13.6,2523.0,63.0,8.0,2.9,Mahindra,DI BSII
Chennai,2007,30441,Petrol,Manual,First,15.9,1298.0,85.0,5.0,1.45,Maruti,Vxi - BSIII
Chennai,2002,70000,Petrol,Manual,Third,,1086.0,,5.0,0.65,Hyundai,LS zipPlus
Mumbai,2016,11000,Diesel,Automatic,First,20.7,1496.0,113.98,5.0,29.5,Mini,5 DOOR D
Hyderabad,2015,61000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,25.0,Audi,35 TDI Quattro Premium
Delhi,2013,48454,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,3.5,Hyundai,Sportz Option
Jaipur,2017,37000,Diesel,Manual,First,14.1,2179.0,154.0,7.0,11.25,Tata,Storme VX Varicor 400
Kochi,2017,32249,Diesel,Manual,First,21.9,1498.0,98.6,7.0,10.79,Honda,i-DTEC VX MT
Kolkata,2013,58000,Diesel,Manual,First,19.33,1968.0,138.03,5.0,5.9,Volkswagen,2013-2015 2.0L TDI Highline
Jaipur,2017,28360,Petrol,Manual,First,19.1,1197.0,81.86,5.0,5.12,Hyundai,1.2 Kappa S Option
Mumbai,2017,7000,Petrol,Manual,First,20.89,1197.0,81.8,5.0,5.7,Maruti,1.2 Alpha
Coimbatore,2016,19658,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,35.84,BMW,Series 2013-2017 520d Luxury Line
Hyderabad,2007,92000,Petrol,Manual,First,13.8,1299.0,70.0,5.0,1.25,Ford,1.3 CLXi
Kolkata,2013,25000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.65,Hyundai,Sportz
Coimbatore,2016,37882,Diesel,Manual,First,22.32,1582.0,126.3,5.0,9.19,Hyundai,1.6 CRDI
Bangalore,2014,69330,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,23.5,BMW,Series 320d Highline
Delhi,2011,61000,Petrol,Automatic,First,12.3,1796.0,185.0,5.0,12.5,Mercedes-Benz,2009-2013 E200 CGI Blue Efficiency
Kolkata,2010,35000,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,1.5,Chevrolet,Option Pack
Jaipur,2004,200000,Petrol,Manual,First,,1086.0,,5.0,0.8,Hyundai,Xing XP
Jaipur,2009,82000,Diesel,Manual,Second,13.5,1405.0,,5.0,0.75,Tata,DLS
Delhi,2012,72450,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,Mahindra,W8 2WD
Jaipur,2017,36381,Diesel,Manual,First,28.09,1248.0,88.5,5.0,9.75,Maruti,ZDi Plus SHVS
Coimbatore,2017,25559,Diesel,Automatic,First,19.71,2143.0,201.15,5.0,37.93,Mercedes-Benz,C-Class C 250 CDI Avantgarde
Chennai,2005,100000,Petrol,Automatic,Third,16.4,1497.0,78.0,5.0,1.96,Honda,ZX CVT
Jaipur,2015,94000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,20.5,Toyota,4x2 4 Speed AT
Bangalore,2011,64357,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.75,Maruti,K10 VXI
Mumbai,2017,10501,Petrol,Automatic,First,9.43,1999.0,237.4,5.0,75.0,Jaguar,2.0L Portfolio
Chennai,2009,47000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,2.8,Hyundai,1.4 Magna ABS
Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497.0,117.3,7.0,9.25,Honda,i-VTEC V CVT
Chennai,2007,89000,Petrol,Manual,First,13.4,1794.0,125.0,5.0,3.0,Toyota,Executive (HE)
Coimbatore,2014,49964,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,23.89,Audi,2011-2015 2.0 TDI Premium Plus
Mumbai,2014,35000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.75,Toyota,2.5 ZX Diesel 7 Seater BSIII
Jaipur,2014,64000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.15,Hyundai,i10 CRDi Sportz
Mumbai,2013,36000,Petrol,Automatic,First,14.8,1598.0,105.0,5.0,4.65,Volkswagen,IPL II Petrol Highline AT
Delhi,2012,78600,Diesel,Manual,First,12.8,2494.0,102.0,7.0,8.9,Toyota,2.5 VX (Diesel) 7 Seater BS IV
Jaipur,2008,170000,Diesel,Manual,Second,16.8,1493.0,110.0,5.0,1.5,Hyundai,CRDi SX
Pune,2015,65000,Diesel,Manual,Second,23.2,1248.0,73.94,5.0,3.27,Maruti,VDi
Pune,2008,120300,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,18.0,Audi,3.0 TDI Quattro Technology
Pune,2016,21000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.3,Hyundai,Asta Option 1.2
Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.31,Maruti,Brezza ZDi Plus Dual Tone
Pune,2014,58407,Petrol,Manual,First,17.4,1497.0,117.3,5.0,6.16,Honda,i VTEC S
Pune,2014,49500,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.0,Maruti,ZXi
Kochi,2013,37199,Petrol,Automatic,First,17.5,1498.0,99.6,5.0,5.43,Nissan,XV CVT
Hyderabad,2012,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.65,Volkswagen,Diesel Highline 1.2L
Hyderabad,2015,59000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7.5,Maruti,ZDI
Jaipur,2015,60000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,6.25,Maruti,Dzire VDI
Bangalore,2007,39037,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,9.25,Mercedes-Benz,C-Class C 220 CDI Elegance AT
Mumbai,2013,17003,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.15,Honda,S MT
Hyderabad,2008,80400,Petrol,Manual,First,16.0,1086.0,66.7,5.0,2.3,Hyundai,Magna Optional 1.1L
Jaipur,2012,75200,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.25,Hyundai,1.6 SX CRDi (O)
Kochi,2017,41217,Diesel,Manual,First,28.09,1248.0,88.5,5.0,7.4,Maruti,VDI SHVS
Pune,2006,98293,Petrol,Manual,Second,13.8,1299.0,70.0,5.0,1.55,Ford,1.3 Flair
Pune,2017,54000,Petrol,Manual,Second,16.2,1199.0,74.0,5.0,6.0,Volkswagen,1.2 MPI Highline
Chennai,2016,17377,Petrol,Manual,First,18.7,1199.0,88.7,5.0,5.9,Honda,1.2 V i VTEC
Bangalore,2013,33800,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,4.7,Honda,EX i-Dtech
Hyderabad,2015,86157,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.5,Hyundai,Asta 1.4 CRDi
Hyderabad,2012,146824,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.55,Maruti,VDi
Chennai,2014,55000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,7.1,Honda,V MT
Hyderabad,2010,53293,Petrol,Manual,First,13.14,1798.0,160.0,5.0,6.0,Skoda,1.8 TSI MT
Pune,2017,38000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.99,Maruti,Brezza LDi Option
Bangalore,2009,64000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,4.1,Hyundai,Asta
Hyderabad,2017,25058,Petrol,Automatic,First,24.07,998.0,67.1,5.0,3.95,Maruti,K10 VXI AGS
Kochi,2016,36700,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.38,Hyundai,Era Plus
Mumbai,2011,35000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,Hyundai,Sportz
Coimbatore,2016,22732,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,55.54,Mercedes-Benz,SLK 350
Hyderabad,2014,48000,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,29.0,Audi,2.0 TDI Design Edition
Bangalore,2013,62084,Diesel,Manual,First,22.77,1498.0,98.59,5.0,6.6,Ford,1.5 TDCi Titanium
Kolkata,2012,39273,Diesel,Automatic,First,14.3,1968.0,140.0,5.0,6.99,Volkswagen,Highline DSG
Bangalore,2017,64798,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.75,Toyota,Crysta 2.4 ZX MT
Jaipur,2010,100002,Diesel,Manual,Third,20.0,1399.0,68.0,5.0,1.28,Ford,Diesel ZXI
Pune,2006,78000,Petrol,Manual,Third,14.49,1399.0,92.7,5.0,1.2,Chevrolet,1.4
Coimbatore,2013,57717,Petrol,Manual,First,18.5,1197.0,85.8,5.0,4.31,Maruti,LXi
Chennai,2011,109000,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,16.5,Land Rover,Freelander 2 SE
Coimbatore,2017,74515,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.64,Hyundai,i10 Asta
Coimbatore,2017,50484,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,31.12,Ford,3.2 Trend AT 4X4
Kochi,2013,13452,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,25.46,Audi,2008-2012 2.0 TDI
Kochi,2017,37688,Petrol,Manual,First,17.01,1591.0,121.3,5.0,7.88,Hyundai,1.6 VTVT
Chennai,2017,34000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,36.0,Mercedes-Benz,2015-2017 E250 CDI Avantgarde
Pune,2014,120000,Diesel,Automatic,First,,2987.0,165.0,5.0,30.0,Mercedes-Benz,ML 350 4Matic
Pune,2008,64000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,2.85,Maruti,Dzire ZXi
Delhi,2011,100000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,3.5,Honda,1.3 EXI S
Jaipur,2014,75000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,7.5,Renault,85PS Diesel RxL Optional
Hyderabad,2012,86000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,19.0,Mercedes-Benz,C-Class 220 CDI AT
Hyderabad,2015,69000,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,54.0,BMW,xDrive 30d Design Pure Experience 5 Seater
Kochi,2015,41721,Petrol,Manual,First,19.1,1197.0,82.0,5.0,4.7,Hyundai,1.2 Kappa SX Option
Hyderabad,2017,13000,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,8.5,Maruti,AMT ZXI Plus
Kolkata,2013,38998,Diesel,Automatic,First,16.07,1995.0,181.0,4.0,17.0,BMW,Series 320d Corporate Edition
Kochi,2017,54250,Petrol,Manual,First,22.74,796.0,47.3,5.0,3.51,Maruti,800 LXI
Bangalore,2013,45979,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,19.5,Audi,2.0 TDI 177 Bhp Premium Plus
Pune,2012,37000,Petrol,Automatic,Second,13.6,1598.0,181.0,4.0,17.0,Mini,S
Coimbatore,2015,46983,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,43.35,Audi,3.0 TDI Quattro Premium Plus
Bangalore,2012,40700,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65,Chevrolet,Diesel LT
Kochi,2015,43828,Petrol,Manual,First,20.51,998.0,67.04,5.0,3.52,Maruti,R LXI BS IV
Kolkata,2016,53000,Diesel,Manual,First,19.01,1461.0,108.5,5.0,6.25,Nissan,XV Premium 110 PS
Ahmedabad,2015,100000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,24.75,BMW,Series 320d Luxury Plus
Mumbai,2015,19000,Petrol,Manual,First,20.85,1197.0,83.14,5.0,5.25,Maruti,Dzire VXI
Jaipur,2016,84000,Diesel,Manual,First,17.72,1968.0,108.5,5.0,11.0,Skoda,Elegance 4X2
Kochi,2018,37630,Petrol,Automatic,First,15.63,1499.0,110.4,5.0,9.1,Ford,1.5 Ti VCT AT Titanium
Chennai,2010,67714,Petrol,Manual,First,18.5,1197.0,80.0,5.0,3.25,Hyundai,1.2 Magna
Pune,2017,32000,Diesel,Manual,First,15.0,1248.0,88.5,5.0,8.5,Maruti,Cross DDiS 200 Sigma Option
Pune,2010,51000,Petrol,Manual,First,16.2,1599.0,103.2,5.0,3.1,Hyundai,Transform VTVT
Kochi,2015,58390,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,19.86,BMW,Series 320d Luxury Line
Kolkata,2017,14000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,4.9,Hyundai,i10 1.2 CRDi Magna
Delhi,2014,55818,Petrol,Manual,Second,17.4,1497.0,117.3,5.0,5.7,Honda,i-VTEC V
Chennai,2006,97800,Petrol,Manual,Third,16.1,,,,1.75,Maruti,1.3 VXi
Kolkata,2012,52241,Diesel,Manual,First,25.2,1248.0,74.0,5.0,2.9,Maruti,VDI BSIV
Coimbatore,2018,25433,Diesel,Manual,First,27.39,1248.0,74.0,5.0,7.83,Maruti,Zeta 1.3
Kochi,2015,40611,Diesel,Manual,First,14.0,2179.0,138.1,7.0,8.15,Tata,Storme 2012-2015 LX
Bangalore,2008,72000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,2.0,Hyundai,GLS
Hyderabad,2016,54631,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.25,Maruti,LDI SP Limited Edition
Bangalore,2007,60000,Diesel,Manual,Second,17.8,1248.0,,5.0,3.4,Maruti,VDI BSIV
Coimbatore,2016,24941,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.19,Tata,XTA
Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7.0,7.75,Maruti,VDI
Delhi,2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,3.2,Maruti,VXI AMT
Delhi,2015,63000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,4.9,Maruti,VDI BSIV
Kochi,2012,121377,Petrol,Manual,First,15.04,1598.0,103.6,5.0,3.8,Volkswagen,Petrol Highline
Chennai,2009,100970,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,4.0,Volkswagen,2007-2011 1.9 Highline TDI
Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,23.5,Mini,5 DOOR D
Chennai,2008,77650,Diesel,Manual,First,17.2,1396.0,53.5,5.0,1.15,Tata,V2 DLS
Hyderabad,2007,71297,Petrol,Manual,First,17.0,1086.0,,5.0,2.2,Hyundai,Xing XO
Mumbai,2008,55001,Diesel,Automatic,Second,,,,,26.5,Land Rover,Range Rover 3.0 D
Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,10.65,Honda,i-VTEC CVT VX
Coimbatore,2016,47877,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,35.68,Jaguar,2.2 Litre Luxury
Kochi,2017,43368,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,31.94,Mercedes-Benz,2015-2017 E250 Edition E
Chennai,2011,73000,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,4.2,Chevrolet,LTZ
Ahmedabad,2015,72007,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.9,Mahindra,W8 2WD
Kochi,2014,56778,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,15.46,Mercedes-Benz,C-Class C 200 CGI Avantgarde
Kochi,2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,8.46,Honda,VX
Kolkata,2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,3.25,Toyota,G
Hyderabad,2012,67147,Petrol,Manual,First,19.7,796.0,46.3,5.0,2.6,Maruti,LXi BSIII
Coimbatore,2016,37806,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.2,Maruti,VXI BSIV
Pune,2009,85000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,1.8,Maruti,Vxi
Chennai,2011,35000,Petrol,Manual,First,25.4,624.0,37.48,4.0,1.6,Tata,Lx BSIV
Kolkata,2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5.0,2.5,Ford,Titanium Diesel
Jaipur,2011,48500,Petrol,Manual,First,16.0,1368.0,90.0,5.0,2.5,Fiat,Emotion
Coimbatore,2017,28854,Petrol,Manual,First,18.16,1196.0,86.8,5.0,6.7,Ford,Aspire 1.2 Ti-VCT Trend
Hyderabad,2005,92450,Petrol,Manual,First,15.4,1590.0,94.0,5.0,1.2,Maruti,LXI
Coimbatore,2016,14351,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,35.55,BMW,Series 320d Luxury Line
Jaipur,2017,51087,Diesel,Manual,First,17.9,1998.0,163.7,5.0,7.75,Chevrolet,LTZ
Chennai,2005,50000,Diesel,Manual,First,12.7,2609.0,116.6,8.0,1.94,Mahindra,2.6 DX
Hyderabad,2016,73000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.2,Tata,V2 eLS
Ahmedabad,2011,60000,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,3.8,Chevrolet,LTZ AT
Chennai,2016,50000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,15.65,Toyota,2.5 V Diesel 8-seater
Coimbatore,2018,36797,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.47,Mercedes-Benz,C-Class C 220d Avantgarde Edition C
Kolkata,2011,50000,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,1.5,Maruti,VXi
Ahmedabad,2013,94000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,8.85,Toyota,2.5 GX (Diesel) 8 Seater BS IV
Bangalore,2013,74000,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,17.9,Toyota,4x4 MT
Coimbatore,2014,41016,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,5.08,Hyundai,Sportz AT
Bangalore,2012,67000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,6.25,Hyundai,1.6 SX
Bangalore,2015,76927,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,22.75,Audi,2012-2015 35 TDI Quattro Premium Plus
Kolkata,2010,17088,Petrol,Manual,First,18.6,1199.0,79.4,5.0,1.46,Chevrolet,LS
Pune,2007,112808,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,2.05,Ford,1.4 Duratorq ZXI
Coimbatore,2014,74980,Diesel,Manual,First,20.0,1399.0,68.0,5.0,4.08,Ford,Diesel EXI
Hyderabad,2014,44600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.55,Maruti,VXI AT
Mumbai,2013,37000,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,14.0,Mercedes-Benz,Class A180 CDI
Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,10.9,Hyundai,1.6 SX
Bangalore,2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,Maruti,R VXI BS IV
Delhi,2013,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,15.8,Mercedes-Benz,2009-2013 E 220 CDI Avantgarde
Mumbai,2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,8.25,Ford,1.5 Ti VCT MT Titanium BE
Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,8.5,Renault,2.0 Diesel
Coimbatore,2016,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,15.54,Mahindra,W10 2WD
Hyderabad,2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,2.35,Maruti,E 8 Str STD
Coimbatore,2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,4.32,Maruti,R VXI
Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,3.9,Ford,XLT TDCi 4X2
Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,5.2,Hyundai,1.6 SX
Mumbai,2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.85,Hyundai,Magna 1.2
Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,6.25,Maruti,ZXI
Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,17.63,Mahindra,W9 AT
Mumbai,2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,9.75,Maruti,S Cross DDiS 200 Zeta
Bangalore,2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,55.0,Mercedes-Benz,SLK 350
Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.1,Volkswagen,Diesel Comfortline 1.2L
Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,11.99,Toyota,4x4 MT
Kochi,2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,13.54,Mahindra,W10 2WD
Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,56.0,Mercedes-Benz,250d
Chennai,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,6.5,Honda,1.2 VX i VTEC
Pune,2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.75,Maruti,Dzire VDI
Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,5.6,Hyundai,1.6 SX VTVT
Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,29.2,Ford,3.2 Titanium AT 4X4
Kolkata,2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.35,Hyundai,1.2 Asta Option
Mumbai,2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.95,Honda,1.5 V MT Sunroof
Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,8.5,Honda,VX Diesel
Kolkata,2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4.5,Hyundai,1.6 SX VTVT (O)
Chennai,2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,5.5,Honda,S i DTEC
Kochi,2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,6.56,Maruti,ZDI
Pune,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.3,Maruti,K10 LXI
